Symbol,Name,Last_price,Marker_time,Change,%Change,Volume,Marker_Cap
NVDA,NVIDIA Corporation,120.89,4:00PM EDT,"-1,089.09",-90.01%,40.053M,нет данных
CRWD,"CrowdStrike Holdings, Inc.",349.12,4:00PM EDT,+8.63,+2.53%,4.429M,нет данных
SPOT,Spotify Technology S.A.,308.21,4:00PM EDT,-11.30,-3.54%,2.128M,нет данных
AAPL,Apple Inc.,196.89,4:00PM EDT,+2.41,+1.24%,52.725M,нет данных
EURUSD=X,EUR/USD,1.0757,7:55AM BST,-0.0046,-0.43%,0,нет данных
NQ=F,Nasdaq Futures,"19,020.75",2:46AM EDT,-17.00,-0.09%,"24,426",нет данных
^N225,Nikkei 225,"39,038.16",3:15PM JST,+354.23,+0.92%,0,нет данных
OXY,Occidental Petroleum Corporation,59.48,4:00PM EDT,-0.60,-1.00%,6.869M,нет данных
DEFTF,DeFi Technologies Inc.,1.3000,3:59PM EDT,+0.1300,+11.11%,"467,544",нет данных
GDDY,GoDaddy Inc.,139.36,4:00PM EDT,+0.70,+0.50%,1M,нет данных
LUV,Southwest Airlines Co.,27.75,4:00PM EDT,-0.10,-0.36%,6.578M,нет данных
YESBANK.NS,Yes Bank Limited,24.03,12:26PM IST,+0.88,+3.80%,213.198M,нет данных
NG=F,Natural Gas Jul 24,2.9850,2:46AM EDT,+0.0670,+2.30%,"9,766",нет данных
AVGO,Broadcom Inc.,"1,406.64",4:00PM EDT,+5.37,+0.38%,1.777M,нет данных
ES=F,S&P Futures,"5,350.75",2:46AM EDT,-5.00,-0.09%,"41,931",нет данных
ARCC,Ares Capital Corporation,21.53,4:00PM EDT,+0.17,+0.80%,2.412M,нет данных
^TNX,CBOE Interest Rate 10 Year T No,4.4300,1:59PM CDT,+0.1490,+3.48%,0,нет данных
F,Ford Motor Company,12.15,4:00PM EDT,+0.08,+0.66%,29.1M,нет данных
KKR,KKR & Co. Inc.,97.99,4:00PM EDT,-1.50,-1.51%,4.713M,нет данных
YM=F,Dow Futures,"38,799.00",2:46AM EDT,-58.00,-0.15%,"6,806",нет данных
GBPEUR=X,GBP/EUR,1.1817,7:56AM BST,+0.0045,+0.39%,0,нет данных
TATAPOWER.NS,The Tata Power Company Limited,452.00,12:26PM IST,+8.45,+1.91%,14.79M,нет данных
BTC=F,"Bitcoin Futures,Jun-2024","69,725.00",2:43AM EDT,-30.00,-0.04%,738,нет данных
GC=F,Gold,"2,304.70",2:46AM EDT,-20.30,-0.87%,"31,325",нет данных
RTY=F,Russell 2000 Futures,"2,020.40",2:46AM EDT,-8.80,-0.43%,"7,986",нет данных
TATASTEEL.NS,Tata Steel Limited,180.92,12:26PM IST,+2.02,+1.13%,53.011M,нет данных
SUZLON.NS,Suzlon Energy Limited,47.84,12:26PM IST,-2.06,-4.13%,70.891M,нет данных
O39.SI,Oversea-Chinese Banking Corporation Limited,14.25,2:46PM SGT,-0.02,-0.14%,2.228M,нет данных
CAD=X,USD/CAD,1.3764,7:56AM BST,+0.0005,+0.04%,0,нет данных
MRVL,"Marvell Technology, Inc.",67.99,4:00PM EDT,-0.11,-0.16%,7.327M,нет данных
