Change,Last_price,Market_Cap,Market_time,Name,PercentChange,Symbol,Volume
-0.62,123.88,нет данных,4:03PM EDT,Oracle Corporation,-0.50%,ORCL,14.53M
+3.36,33.80,нет данных,4:00PM EDT,"Affirm Holdings, Inc.",+11.04%,AFRM,19.112M
+5.66,30.49,нет данных,4:00PM EDT,GameStop Corp.,+22.80%,GME,136.752M
-0.94,11.04,нет данных,4:00PM EDT,Paramount Global,-7.85%,PARA,32.183M
+14.03,207.15,нет данных,4:00PM EDT,Apple Inc.,+7.26%,AAPL,168.875M
+4.81,432.68,нет данных,4:00PM EDT,Microsoft Corporation,+1.12%,MSFT,14.071M
+20.56,"1,461.03",нет данных,4:00PM EDT,Broadcom Inc.,+1.43%,AVGO,3.448M
+0.0200,4.4000,нет данных,4:00PM EDT,Beamr Imaging Ltd.,+0.46%,BMR,"103,033"
-0.2600,4.4600,нет данных,4:03PM EDT,NIO Inc.,-5.51%,NIO,65.389M
+0.51,5.22,нет данных,4:00PM EDT,"AMC Entertainment Holdings, Inc.",+10.83%,AMC,61.357M
+0.0010,0.1790,нет данных,4:00PM EDT,Golden Heaven Group Holdings Ltd.,+0.56%,GDHG,1.264M
-12.73,230.37,нет данных,12:05PM BST,Legal & General Group Plc,-5.24%,LGEN.L,32.842M
-2.45,165.71,нет данных,4:00PM EDT,Taiwan Semiconductor Manufacturing Company Limited,-1.46%,TSM,11.467M
+1.39,9.87,нет данных,4:00PM EDT,"AST SpaceMobile, Inc.",+16.39%,ASTS,12.011M
+1.4800,4.6200,нет данных,4:00PM EDT,"Airship AI Holdings, Inc.",+47.13%,AISP,96.296M
-4.23,72.74,нет данных,4:00PM EDT,"NextEra Energy, Inc.",-5.50%,NEE,22.625M
-3.13,170.66,нет данных,4:00PM EDT,"Tesla, Inc.",-1.80%,TSLA,64.355M
+0.1296,0.3596,нет данных,4:00PM EDT,Trio Petroleum Corp.,+56.35%,TPET,233.997M
+0.0028,0.0844,нет данных,4:00PM EDT,Crown Electrokinetics Corp.,+3.43%,CRKN,84.617M
+0.0890,0.6290,нет данных,4:00PM EDT,"WANG & LEE GROUP, Inc.",+16.48%,WLGS,6.99M
+37.11,291.99,нет данных,4:00PM EDT,"Madrigal Pharmaceuticals, Inc.",+14.56%,MDGL,1.547M
+22.87,407.87,нет данных,12:05PM BST,Raspberry Pi Holdings PLC,+5.94%,RPI.L,"439,757"
+2.04,12.35,нет данных,4:00PM EDT,Iris Energy Limited,+19.79%,IREN,27.788M
+0.0500,3.5200,нет данных,4:00PM EDT,Mereo BioPharma Group plc,+1.44%,MREO,"519,120"
+0.59,134.43,нет данных,4:00PM EDT,Amphenol Corporation,+0.44%,APH,2.158M
-0.0066,0.2781,нет данных,4:00PM EDT,Surf Air Mobility Inc.,-2.32%,SRFM,1.824M
-1.55,109.65,нет данных,1:05PM CEST,Volkswagen AG,-1.39%,VOW3.DE,"717,203"
+0.2100,1.3300,нет данных,4:00PM EDT,Scilex Holding Company,+18.75%,SCLX,1.496M
+14.73,294.53,нет данных,4:00PM EDT,"First Solar, Inc.",+5.26%,FSLR,4.096M
+0.56,8.62,нет данных,4:00PM EDT,"Iovance Biotherapeutics, Inc.",+7.01%,IOVA,9.552M
